key,screen,english,hindi (draft — correct this column)
languageName,—,English,हिन्दी
chooseLanguage,—,Language,भाषा
english,—,English,English
hindi,—,हिन्दी,हिन्दी
backToSignIn,app audience,Back to sign in,वापस साइन इन पर
changeMobileNumber,login,Change mobile number,मोबाइल नंबर बदलें
password,login,Password,पासवर्ड
schoolEmail,login,School email,स्कूल ईमेल
digitCodeFromWhatsapp,login,6-digit code from WhatsApp,व्हाट्सएप से आया 6 अंकों का कोड
otp,login,OTP,ओटीपी
digitWhatsappNumber,login,10-digit WhatsApp number,10 अंकों का व्हाट्सएप नंबर
mobileNumber,"login, visitor gate",Mobile number,मोबाइल नंबर
staff,login,Staff,स्टाफ़
parent,login,Parent,अभिभावक
chatWithTheSchoolOnWhatsapp,home,Chat with the school on WhatsApp,स्कूल से व्हाट्सएप पर बात करें
signOut,"desk home, home, principal home, profile, teacher home",Sign out,साइन आउट
notices,home,Notices,सूचनाएँ
noActiveStudentsFoundForThis,home,No active students found for this account. Contact the school office.,इस खाते से कोई चालू छात्र नहीं जुड़ा है। स्कूल दफ़्तर से संपर्क करें।
retry,"attendance, chat thread, fee counter, home, marks, module shell, principal home, self attendance, teacher home, tutor",Retry,दोबारा कोशिश करें
showThisQrAtTheSchool,student id,"Show this QR at the school gate, library or fee counter.","यह क्यूआर स्कूल गेट, पुस्तकालय या फ़ीस काउंटर पर दिखाएँ।"
noAdmissionNumberOnRecordYet,student id,No admission number on record yet — contact the school office.,अभी कोई प्रवेश संख्या दर्ज नहीं है — स्कूल दफ़्तर से संपर्क करें।
bhbInternationalSchool,student id,BHB INTERNATIONAL SCHOOL,बी एच बी इंटरनेशनल स्कूल
studentId,student id,Student ID,छात्र पहचान पत्र
dayByDay,attendance history,Day by day,दिन-प्रतिदिन
noAttendanceMarkedYetThisTerm,attendance history,No attendance marked yet this term. Records appear here the day the class teacher marks the register.,इस सत्र में अभी हाज़िरी नहीं लगी है। कक्षा अध्यापक के रजिस्टर भरते ही यहाँ दिखेगी।
allPublishedSchoolBusRoutesAsk,bus routes,All published school bus routes. Ask the office which one your child is on.,"स्कूल की सभी प्रकाशित बस रूट। आपका बच्चा किस रूट पर है, दफ़्तर से पूछें।"
noBusRoutesPublishedYetContact,bus routes,No bus routes published yet. Contact the school office to find your child's route.,अभी कोई बस रूट प्रकाशित नहीं है। अपने बच्चे का रूट जानने के लिए दफ़्तर से संपर्क करें।
youReNotSetAsA,chat inbox,"You're not set as a class teacher for any section, so there's no parent inbox here yet.","आप किसी सेक्शन के कक्षा अध्यापक नहीं हैं, इसलिए यहाँ अभिभावकों का इनबॉक्स नहीं है।"
typeAMessage,chat thread,Type a message…,संदेश लिखें…
couldNotSendCheckYourConnection,chat thread,Could not send. Check your connection.,भेजा नहीं जा सका। अपना नेटवर्क देखें।
whatHappenedWhenAndWhatYou,complaints,"What happened, when, and what you would like the school to do","क्या हुआ, कब हुआ, और आप स्कूल से क्या चाहते हैं"
details,complaints,Details,विवरण
subject,"complaints, homework, syllabus scan",Subject,विषय
generalNotAboutOneChild,complaints,General — not about one child,सामान्य — किसी एक बच्चे के बारे में नहीं
concerning,complaints,Concerning,किसके बारे में
whatIsItAbout,complaints,What is it about?,बात किस बारे में है?
raiseAComplaint,complaints,Raise a complaint,शिकायत दर्ज करें
couldNotReachTheSchoolServer,"complaints, leave, profile, transport, tutor",Could not reach the school server.,स्कूल सर्वर से संपर्क नहीं हुआ।
